aa,afar
ab,abkhazeg
ach,acoli
ada,adangme
ady,adygeieg
ae,avesteg
af,afrikaans
afh,afrihili
agq,aghem
ak,akan
akk,akadeg
alt,altaieg ar Su
am,amhareg
an,aragoneg
ang,hensaozneg
ar,arabeg
arc,arameeg
arn,araoukaneg
arp,arapaho
arw,arawakeg
as,asameg
asa,asu
av,avar
awa,awadhi
ay,aymara
az,azeri
ba,bachkir
bal,baloutchi
ban,balineg
bas,basaa
be,belaruseg
bem,bemba
bez,bena
bg,bulgareg
bho,bhojpuri
bi,bislama
bik,bikol
bin,bini
bm,bambara
bn,bengali
bo,tibetaneg
br,brezhoneg
bra,braj
brx,bodo
bs,bosneg
bua,bouriat
bug,bugi
byn,blin
ca,katalaneg
cad,caddo
car,karibeg
ce,tchetcheneg
ceb,cebuano
ch,chamorru
chb,chibcha
chm,marieg
cho,choktaw
chp,chipewyan
chr,cherokee
chy,cheyenne
ckb,kurdeg sorani
co,korseg
cop,kopteg
cr,kri
crh,turkeg Krimea
cs,tchekeg
csb,kachoubeg
cu,slavoneg iliz
cv,tchouvatch
cy,kembraeg
da,daneg
dak,dakota
dar,dargwa
de,alamaneg
de_AT,alamaneg Aostria
de_CH,alamaneg uhel Suis
del,delaware
dgr,dogrib
din,dinka
doi,dogri
dsb,izelsorabeg
dv,divehi
dyu,dyula
dz,dzongkha
ebu,embu
ee,ewe
efi,efik
egy,henegipteg
eka,ekajuk
el,gresianeg
elx,elameg
en,saozneg
en_AU,saozneg Aostralia
en_CA,saozneg Kanada
en_GB,saozneg Breizh-Veur
en_US,saozneg S.U.
enm,krennsaozneg
eo,esperanteg
es,spagnoleg
es_419,spagnoleg Amerika latin
es_ES,spagnoleg Europa
et,estoneg
eu,euskareg
ewo,ewondo
fa,perseg
fan,fang
fat,fanti
fi,finneg
fil,filipineg
fj,fidjieg
fo,faeroeg
fon,fon
fr,galleg
fr_CA,galleg Kanada
fr_CH,galleg Suis
frm,krennc'halleg
fro,henc'halleg
frr,frizeg an Norzh
frs,frizeg ar Reter
fur,frioulaneg
fy,frizeg ar C'hornôg
ga,iwerzhoneg
gaa,ga
gay,gayo
gba,gbaya
gd,skoseg
gez,gezeg
gil,gilberteg
gl,galizeg
gn,guarani
gor,gorontalo
got,goteg
grb,grebo
grc,henc'hresianeg
gsw,alamaneg Suis
gu,gujarati
gv,manaveg
ha,haousa
hai,haida
haw,hawaieg
he,hebraeg
hi,hindi
hil,hiligaynon
hmn,hmong
ho,hiri motu
hr,kroateg
hsb,uhelsorabeg
ht,haitieg
hu,hungareg
hup,hupa
hy,armenianeg
hz,herero
ia,interlingua
iba,iban
ibb,ibibio
id,indonezeg
ie,interlingue
ig,igbo
ik,inupiaq
inh,ingoucheg
io,ido
is,islandeg
it,italianeg
iu,inuktitut
ja,japaneg
jpr,yuzev-perseg
jrb,yuzev-arabeg
jv,javaneg
ka,jorjianeg
kaa,karakalpak
kab,kabileg
kac,kachin
kam,kamba
kbd,kabardeg
kea,kabuverdianu
kg,kongo
kha,khasi
kho,khotaneg
ki,kikuyu
kj,kwanyama
kk,kazak
km,khmer
kmb,kimbundu
kn,kanareg
ko,koreaneg
kok,konkani
kos,kosrae
kpe,kpelle
kr,kanouri
krc,karatchay-balkar
kru,kurukh
ks,kashmiri
ku,kurdeg
kut,kutenai
kw,kerneveureg
ky,kirgiz
la,latin
lad,ladino
lah,lahnda
lam,lamba
lb,luksembourgeg
lez,lezgi
lg,ganda
li,limbourgeg
ln,lingala
lo,laoseg
lol,mongo
loz,lozi
lt,lituaneg
lu,luba-katanga
lua,luba-lulua
lui,luiseno
lun,lunda
luo,luo
lus,lushai
luy,luyia
lv,latvieg
mag,magahi
mai,maithili
mas,masai
mdf,moksha
mdr,mandar
men,mende
mfe,moriseg
mg,malgacheg
mga,krenniwerzhoneg
mh,marshall
mi,maori
mk,makedoneg
ml,malayalam
mn,mongoleg
mnc,manchou
mni,manipuri
moh,mohawk
mr,marathi
ms,malayseg
mt,malteg
mul,yezhoù lies
mus,muskogi
my,birmaneg
myv,erza
na,naurueg
nap,napolitaneg
nb,norvegeg bokmål
nd,ndebele an Norzh
ne,nepaleg
new,newari
ng,ndonga
nia,nias
niu,niue
nl,nederlandeg
nl_BE,flandrezeg
nn,norvegeg nynorsk
no,norvegeg
nog,nogay
nr,ndebele ar Su
nso,sotho an Norzh
nv,navac'ho
ny,nyanja
nym,nyamwezi
nyn,nyankole
nyo,nyoro
oc,okitaneg
oj,ojibwa
or,oriya
os,oseteg
osa,osage
pa,punjabi
pag,pangasinan
pal,pahlavi
pam,pampanga
pap,papiamento
pau,palau
peo,henberseg
phn,fenikianeg
pi,pali
pl,poloneg
pon,pohnpei
pro,henbrovañseg
ps,pachto
pt,portugaleg
pt_BR,portugaleg Brazil
pt_PT,portugaleg Europa
qu,kechuaeg
raj,rajasthani
rap,rapanui
rar,rarotonga
rm,romañcheg
rn,rundi
ro,roumaneg
ro_MD,moldoveg
rof,rombo
rom,romanieg
ru,rusianeg
rup,aroumaneg
rw,kinyarwanda
rwk,rwa
sa,sanskriteg
sad,sandawe
sah,yakouteg
sas,sasak
sat,santali
sc,sardeg
sco,skoteg
sd,sindhi
se,sámi an Norzh
sg,sango
sga,heniwerzhoneg
sh,serb-kroateg
shn,shan
si,singhaleg
sid,sidamo
sk,slovakeg
sl,sloveneg
sm,samoan
sma,sámi ar Su
smj,sámi Luleå
smn,sámi Inari
sms,sámi Skolt
sn,shona
snk,soninke
so,somali
sog,sogdieg
sq,albaneg
sr,serbeg
srr,serer
ss,swati
st,sotho ar Su
su,sundaneg
sux,sumereg
sv,svedeg
sw,swahili
swb,komoreg
syc,sirieg klasel
syr,sirieg
ta,tamileg
te,telougou
ter,tereno
tet,tetum
tg,tadjik
th,thai
ti,tigrigna
tig,tigreaneg
tiv,tiv
tk,turkmeneg
tkl,tokelau
tl,tagalog
tlh,klingon
tli,tinglit
tmh,tamacheg
tn,tswana
to,tonga
tog,nyasa tonga
tpi,tok pisin
tr,turkeg
ts,tsonga
tsi,tsimshian
tt,tatar
tum,tumbuka
tvl,tuvalu
tw,twi
ty,tahitianeg
tyv,touva
udm,oudmourteg
ug,ouigoureg
uga,ougariteg
uk,ukraineg
umb,umbundu
und,yezh dianav
ur,ourdou
uz,ouzbekeg
vai,vai
ve,venda
vi,vietnameg
vo,volapük
vot,votyakeg
wa,walloneg
wae,walser
wal,walamo
war,waray
was,washo
wo,wolof
xal,kalmouk
xh,xhosa
yao,yao
yap,yapeg
yi,yiddish
yo,yorouba
yue,kantoneg
za,zhuang
zap,zapoteg
zen,zenaga
zh,sinaeg
zh_Hans,sinaeg eeunaet
zh_Hant,sinaeg hengounel
zu,zouloueg
zun,zuni
zxx,diyezh
