aa,აფარი
ab,აფხაზური
ace,აჩეხური
ach,აჩოლი
ada,ადანგმე
ady,ადიღეური
ae,ავესტური
af,აფრიკაანსი
agq,აღემი
ain,აინუური
ak,აკანი
akk,აქადური
ale,ალეუტური
alt,სამხრეთ ალთაური
am,ამჰარული
an,არაგონული
ang,ძველი ინგლისური
anp,ანგიკა
ar,არაბული
ar_001,თანამედროვე სტანდარტული არაბული
arc,არამეული
arn,მაპუდუნგუნი
arp,არაპაჰო
arw,არავაკი
as,ასამური
asa,ასუ
ast,ასტურიული
av,ხუნძური
awa,ავადი
ay,აიმარა
az,აზერბაიჯანული
ba,ბაშკირული
bal,ბელუჯი
ban,ბალინური
bas,ბასა
bax,ბამუნი
be,ბელორუსული
bej,ბეჯა
bem,ბემბა
bez,ბენა
bg,ბულგარული
bho,ბოჯპური
bn,ბენგალური
bo,ტიბეტური
br,ბრეტონული
bra,ბრაჯი
brx,ბოდო
bs,ბოსნიური
bua,ბურიატული
byn,ბილინი
ca,კატალანური
cay,კაიუგა
ce,ჩეჩნური
chb,ჩიბჩა
chm,მარიული
chn,ჩინუკი ვავა
cho,ჩოკტო
chp,დენე სულინე
chr,ჩეროკი
chy,ჩეიენი
ckb,სორანი ქურთული
co,კორსიკული
cop,კოპტური
cr,კრი
crh,ყირიმულ-თურქული
cs,ჩეხური
csb,კაშუბური
cu,საეკლესიო სლავური
cv,ჩუვაშური
cy,უელსური
da,დანიური
dak,დაკოტა
dar,დარგუული
dav,ტაიტა
de,გერმანული
de_AT,ავსტრიული გერმანული
de_CH,შვეიცარიული ზემოგერმანული
del,დელავარული
den,სლეივი
dgr,დოგრიბი
din,დინკა
dje,ზარმა
doi,დოგრი
dua,დუალა
dum,საშუალო ჰოლანდიური
dv,დივეჰი
dyo,დიოლა
dyu,დიულა
dz,ძონგხა
ebu,ემბუ
ee,ევე
efi,ეფიკი
egy,ძველეგვიპტური
el,ბერძნული
en,ინგლისური
en_AU,ავსტრალიური ინგლისური
en_CA,კანადური ინგლისური
en_GB,ბრიტანული ინგლისური
en_US,ამერიკული ინგლისური
enm,საშუალო ინგლისური
eo,ესპერანტო
es,ესპანური
es_419,ლათინურ ამერიკული ესპანური
es_ES,ევროპული ესპანური
es_MX,მექსიკური ესპანური
et,ესტონური
eu,ბასკური
ewo,ევონდო
fa,სპარსული
fi,ფინური
fil,ფილიპინური
fj,ფიჯი
fo,ფარერული
fon,ფონი
fr,ფრანგული
fr_CA,კანადური ფრანგული
fr_CH,შვეიცარიული ფრანგული
frm,საშუალო ფრანგული
fro,ძველი ფრანგული
frr,ჩრდილოფრიზიული
frs,აღმოსავლეთფრიზიული
fur,ფრიულური
fy,დასავლეთფრიზიული
ga,ირლანდიური
gba,გბაია
gd,შოტლანდიური გელური
gez,გეეზი
gl,გალისიური
gmh,საშუალო ზემოგერმანული
gn,გუარანი
goh,ძველი ზემოგერმანული
gon,გონდი
got,გოთური
grc,ძველი ბერძნული
gsw,შვეიცარიული გერმანული
gu,გუჯარათი
gv,მენური
ha,ჰაუსა
haw,ჰავაიური
he,ებრაული
hi,ჰინდი
hit,ხეთური ენა
hr,ხორვატული
ht,ჰაიტიური
hu,უნგრული
hy,სომხური
ia,ინტერლინგუალური
iba,იბანი
ibb,იბიბიო
id,ინდონეზიური
ie,ინტერლინგი
ig,იგბო
inh,ინგუშური
io,იდო
is,ისლანდიური
it,იტალიური
iu,ინუკტიტუტი
ja,იაპონური
jbo,ლოჟბანი
jpr,იუდეო-სპარსული
jrb,იუდეო-არაბული
jv,იავური
ka,ქართული
kaa,ყარაყალფახური
kac,კაჩინი
kam,კამბა
kbd,ყაბარდოული
kea,კაბუვერდიანუ
kg,კონგო
kk,ყაზახური
kl,გრენლანდიური
kln,კალენჯინი
km,ქმერული
kmb,კიმბუნდუ
kn,კანადა
ko,კორეული
kok,კონკანი
kos,კუსაიე
kpe,კპელე
kr,კანური
krc,ყარაჩაულ-ბალყარული
krl,კარელიური
kru,კურუქი
ks,ქაშმირული
ksb,შამბალა
ksf,ბაფია
ku,ქურთული
kum,ყუმუხური
kut,კუტენაი
kv,კომი
kw,კორნული
ky,ყირგიზული
la,ლათინური
lad,ლადინო
lag,ლანგი
lah,ლანდა
lam,ლამბა
lb,ლუქსემბურგული
lez,ლეზგიური
lg,განდა
li,ლიმბურგული
ln,ლინგალა
lo,ლაოსური
lol,მონგო
loz,ლოზი
lt,ლიტვური
lu,ლუბა-კატანგა
lua,ლუბა-კასაი
lui,ლუისენიო
lun,ლუნდა
luo,ლუო
lus,მიზო
luy,ლუჰია
lv,ლატვიური
maf,მაფა
mag,მაგაჰი
mai,მაითილი
mde,მაბა
mdf,მოქშა
men,მენდე
mer,მერუ
mg,მალაგასიური
mga,საშუალო ირლანდიური
mgh,მაქუვა-მეეტო
mi,მაორი
mic,მიკმაკი
min,მინანგკაბაუ
mk,მაკედონური
ml,მალაიალამური
mn,მონღოლური
mnc,მანჯურიული
mni,მანიპური
moh,მოჰავკი
mos,მოორე
mr,მარათჰი
ms,მალაიური
mt,მალტური
mua,მუნდანგი
mus,კრიკი
mwl,მირანდული
mwr,მარვარი
my,ბირმული
mye,მიენე
myv,ერზია
na,ნაურუ
nap,ნეაპოლიტანური
naq,ნამა
nb,ნორვეგიული ბუკმოლი
nds,ქვემოგერმანული
ne,ნეპალური
new,ნევარი
nl,ნიდერლანდური
nl_BE,ფლამანდიური
nn,ნორვეგიული ნიუნორსკი
no,ნორვეგიული
nog,ნოღაური
non,ძველსკანდინავიური
nqo,ნკო
nv,ნავახო
nwc,კლასიკური ნევარული
ny,ნიანჯა
nym,ნიამვეზი
nyn,ნიანკოლე
nyo,ნიორო
nzi,ნზიმა
oc,ოქსიტანური
oj,ოჯიბვე
or,ორია
os,ოსური
pa,პენჯაბური
pal,ფალაური
peo,ძველი სპარსული
phn,ფინიკიური
pi,პალი
pl,პოლონური
pro,ძველი პროვანსული
ps,პუშტუ
pt,პორტუგალიური
pt_BR,ბრაზილიური პორტუგალიური
pt_PT,ევროპული პორტუგალიური
qu,კეჩუა
raj,რაჯასთანი
rap,რაპანუი
rar,რაროტონგული
rm,რეტორომანული
rn,რუნდი
ro,რუმინული
ro_MD,მოლდავური
rom,ბოშური
ru,რუსული
sa,სანსკრიტი
sah,იაკუტური
sam,სამარიულ-არამეული
sc,სარდინიული
scn,სიცილიური
sd,სინდჰური
see,სენეკა
sel,სელკუპური
sga,ძველი ირლანდიური
sh,სერბულ-ხორვატული
shi,შილჰა
shn,შანი
shu,ჩადური არაბული
si,სინჰალური
sk,სლოვაკური
sl,სლოვენური
sm,სამოა
so,სომალიური
sq,ალბანური
sr,სერბული
st,სამხრეთ სოთოს ენა
su,სუნდური
sux,შუმერული
sv,შვედური
sw,სუაჰილი
swb,კომორული
syc,კლასიკური სირიული
syr,სირიული
ta,ტამილური
te,ტელუგუ
tg,ტაჯიკური
th,ტაი
ti,თიგრინია
tig,თიგრე
tk,თურქმენული
tlh,კლინგონი
tn,ტსვანა
to,ტონგანური
tr,თურქული
tt,თათრული
tw,თუი
tyv,ტუვა
udm,უდმურტული
ug,უიღურული
uga,უგარითული
uk,უკრაინული
und,უცნობი ენა
ur,ურდუ
uz,უზბეკური
vai,ვაი
vi,ვიეტნამური
wal,ველაითა
wo,ვოლოფური
xal,ყალმუხური
xh,ქჰოსა
yi,იდიში
yo,იორუბა
yue,კანტონური
zbl,ბლისსიმბოლოები
zen,ზენაგა
zgh,სტანდარტული მაროკოული ტამაზიგხტი
zh,ჩინური
zh_Hans,გამარტივებული ჩინური
zh_Hant,ტრადიციული ჩინური
zu,ზულუ
zxx,ლინგვისტური შიგთავსი არ არის
zza,ზაზაკი
